label,procedure,price_2team,price_3team,eligible_positive_ev_tickets,tickets_selected,betting_weeks,weeks_with_construction,zero_bet_weeks,units_staked,wins,losses,outcome_hit_rate,hypothetical_profit_loss,hypothetical_roi,block,scenario,american_2team,american_3team,boot_weeks,roi_ci_low,roi_ci_high,boot_note
,frozen greedy + cap,0.6666666666666666,1.5,76,50,36,64,58,50.0,26,24,0.52,14.166666666666666,0.2833333333333333,2018-2023 validation,combined (paired),-150.0,150.0,36,-0.1326530612244898,0.6987179487179487,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,flat eligibility (control),1.0,,174,174,64,64,30,174.0,104,70,0.5977011494252874,34.0,0.19540229885057472,2018-2023 validation,2-team only,-100.0,,64,,,control; interval not computed
,flat eligibility (control),0.9090909090909091,,174,174,64,64,30,174.0,104,70,0.5977011494252874,24.545454545454547,0.14106583072100315,2018-2023 validation,2-team only,-110.0,,64,,,control; interval not computed
,flat eligibility (control),0.8333333333333334,,158,158,61,64,33,158.0,91,67,0.5759493670886076,8.83333333333334,0.05590717299578063,2018-2023 validation,2-team only,-120.0,,61,,,control; interval not computed
,flat eligibility (control),0.7692307692307693,,74,74,30,64,64,74.0,46,28,0.6216216216216216,7.384615384615387,0.09979209979209983,2018-2023 validation,2-team only,-130.0,,30,,,control; interval not computed
,flat eligibility (control),0.7142857142857143,,21,21,11,64,83,21.0,11,10,0.5238095238095238,-2.1428571428571423,-0.10204081632653059,2018-2023 validation,2-team only,-140.0,,11,,,control; interval not computed
,flat eligibility (control),0.6666666666666666,,4,4,3,64,91,4.0,2,2,0.5,-0.6666666666666669,-0.1666666666666667,2018-2023 validation,2-team only,-150.0,,3,,,control; interval not computed
,flat eligibility (control),,1.0,0,0,0,64,94,0.0,0,0,,0.0,,2018-2023 validation,3-team only,,100.0,0,,,control; interval not computed
,flat eligibility (control),,1.1,0,0,0,64,94,0.0,0,0,,0.0,,2018-2023 validation,3-team only,,110.0,0,,,control; interval not computed
,flat eligibility (control),,1.2,2,2,2,64,92,2.0,1,1,0.5,0.19999999999999996,0.09999999999999998,2018-2023 validation,3-team only,,120.0,2,,,control; interval not computed
,flat eligibility (control),,1.3,20,20,11,64,83,20.0,8,12,0.4,-1.6000000000000003,-0.08000000000000002,2018-2023 validation,3-team only,,130.0,11,,,control; interval not computed
,flat eligibility (control),,1.4,53,53,26,64,68,53.0,28,25,0.5283018867924528,14.199999999999998,0.26792452830188673,2018-2023 validation,3-team only,,140.0,26,,,control; interval not computed
,flat eligibility (control),,1.5,72,72,36,64,58,72.0,40,32,0.5555555555555556,28.0,0.3888888888888889,2018-2023 validation,3-team only,,150.0,36,,,control; interval not computed
,flat eligibility (control),,1.6,73,73,37,64,57,73.0,41,32,0.5616438356164384,33.6,0.4602739726027397,2018-2023 validation,3-team only,,160.0,37,,,control; interval not computed
,flat eligibility (control),,1.7,73,73,37,64,57,73.0,41,32,0.5616438356164384,37.7,0.5164383561643836,2018-2023 validation,3-team only,,170.0,37,,,control; interval not computed
,flat eligibility (control),,1.8,73,73,37,64,57,73.0,41,32,0.5616438356164384,41.8,0.5726027397260274,2018-2023 validation,3-team only,,180.0,37,,,control; interval not computed
,flat eligibility (control),1.0,1.0,174,174,64,64,30,174.0,104,70,0.5977011494252874,34.0,0.19540229885057472,2018-2023 validation,combined (paired),-100.0,100.0,64,,,control; interval not computed
,flat eligibility (control),0.9090909090909091,1.1,174,174,64,64,30,174.0,104,70,0.5977011494252874,24.545454545454547,0.14106583072100315,2018-2023 validation,combined (paired),-110.0,110.0,64,,,control; interval not computed
,flat eligibility (control),0.8333333333333334,1.2,160,160,61,64,33,160.0,92,68,0.575,9.033333333333337,0.05645833333333335,2018-2023 validation,combined (paired),-120.0,120.0,61,,,control; interval not computed
,flat eligibility (control),0.7692307692307693,1.3,94,94,30,64,64,94.0,54,40,0.574468085106383,5.7846153846153845,0.061538461538461535,2018-2023 validation,combined (paired),-130.0,130.0,30,,,control; interval not computed
,flat eligibility (control),0.7142857142857143,1.4,74,74,27,64,67,74.0,39,35,0.527027027027027,12.057142857142853,0.1629343629343629,2018-2023 validation,combined (paired),-140.0,140.0,27,,,control; interval not computed
,flat eligibility (control),0.6666666666666666,1.5,76,76,36,64,58,76.0,42,34,0.5526315789473685,27.333333333333336,0.35964912280701755,2018-2023 validation,combined (paired),-150.0,150.0,36,,,control; interval not computed
,frozen greedy + cap,1.0,,29,26,12,12,5,26.0,13,13,0.5,0.0,0.0,2024,2-team only,-100.0,,12,-0.38461538461538464,0.4166666666666667,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.9090909090909091,,29,26,12,12,5,26.0,13,13,0.5,-1.1818181818181817,-0.04545454545454545,2024,2-team only,-110.0,,12,-0.41258741258741255,0.35227272727272724,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.8333333333333334,,28,25,12,12,5,25.0,12,13,0.48,-2.999999999999999,-0.11999999999999997,2024,2-team only,-120.0,,12,-0.5175438596491228,0.29012345679012347,"Week-cluster bootstrap, 50,000 resamples, seed 20260919."
,frozen greedy + cap,0.7692307692307693,,11,8,4,12,13,8.0,3,5,0.375,-2.6923076923076925,-0.33653846153846156,2024,2-team only,-130.0,,4,,,Only 4 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,0.7142857142857143,,9,7,3,12,14,7.0,2,5,0.2857142857142857,-3.571428571428571,-0.5102040816326531,2024,2-team only,-140.0,,3,,,Only 3 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,0.6666666666666666,,1,1,1,12,16,1.0,1,0,1.0,0.6666666666666666,0.6666666666666666,2024,2-team only,-150.0,,1,,,Only 1 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.0,0,0,0,12,17,0.0,0,0,,0.0,,2024,3-team only,,100.0,0,,,Only 0 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.1,0,0,0,12,17,0.0,0,0,,0.0,,2024,3-team only,,110.0,0,,,Only 0 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.2,3,3,2,12,15,3.0,1,2,0.3333333333333333,-0.8,-0.26666666666666666,2024,3-team only,,120.0,2,,,Only 2 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.3,5,3,2,12,15,3.0,1,2,0.3333333333333333,-0.7,-0.2333333333333333,2024,3-team only,,130.0,2,,,Only 2 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.4,6,4,3,12,14,4.0,2,2,0.5,0.7999999999999998,0.19999999999999996,2024,3-team only,,140.0,3,,,Only 3 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.5,10,8,7,12,10,8.0,3,5,0.375,-0.5,-0.0625,2024,3-team only,,150.0,7,,,Only 7 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.6,10,8,7,12,10,8.0,3,5,0.375,-0.19999999999999973,-0.024999999999999967,2024,3-team only,,160.0,7,,,Only 7 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.7,10,8,7,12,10,8.0,3,5,0.375,0.09999999999999987,0.012499999999999983,2024,3-team only,,170.0,7,,,Only 7 betting weeks: too few for a meaningful interval. No confidence interval is reported.
,frozen greedy + cap,,1.8,10,8,7,12,10,8.0,3,5,0.375,0.40000000000000013,0.05000000000000002,2024,3-team only,,180.0,7,,,Only 7 betting weeks: too few for a meaningful interval. No confidence interval is reported.
