leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2023_04_DET_GB-GB,2023,4,REG,2023-09-28,2023_04_DET_GB,NFL,GB,DET,home,2.5,-2.5,8.5,45.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6716393567181147,0.07,0.7416393567181148,True,-14,20,34,LOSS,0.0,-5.5,43.5-45,>=74%,archived_reference_line
2023_04_SEA_NYG-NYG,2023,4,REG,2023-10-02,2023_04_SEA_NYG,NFL,NYG,SEA,home,2.5,-2.5,8.5,46.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,-21,3,24,LOSS,0.0,-12.5,45.5-47,72-73.9%,archived_reference_line
2023_05_HOU_ATL-HOU,2023,5,REG,2023-10-08,2023_05_HOU_ATL,NFL,HOU,ATL,away,2.5,2.5,8.5,42.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6830306580593271,0.07,0.7530306580593271,True,-2,21,19,WIN,1.0,6.5,40.5-43,>=74%,archived_reference_line
2023_05_NO_NE-NO,2023,5,REG,2023-10-08,2023_05_NO_NE,NFL,NO,NE,away,2.5,2.5,8.5,38.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6982871529359227,0.07,0.7682871529359228,True,34,0,34,WIN,1.0,42.5,<=40,>=74%,archived_reference_line
2023_05_NYJ_DEN-NYJ,2023,5,REG,2023-10-08,2023_05_NYJ_DEN,NFL,NYJ,DEN,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,10,21,31,WIN,1.0,18.5,40.5-43,>=74%,archived_reference_line
2023_05_TEN_IND-IND,2023,5,REG,2023-10-08,2023_05_TEN_IND,NFL,IND,TEN,home,2.5,-2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,7,23,16,WIN,1.0,15.5,43.5-45,>=74%,archived_reference_line
2023_06_WAS_ATL-WAS,2023,6,REG,2023-10-15,2023_06_WAS_ATL,NFL,WAS,ATL,away,1.5,1.5,7.5,42.0,PRIMARY,LIVE,+1.5,DOG,,2,0.6830306580593271,0.07,0.7530306580593271,True,8,16,24,WIN,1.0,15.5,40.5-43,>=74%,archived_reference_line
2023_07_BUF_NE-BUF,2023,7,REG,2023-10-22,2023_07_BUF_NE,NFL,BUF,NE,away,-7.5,-7.5,-1.5,41.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6871559720637167,0.07,0.7571559720637167,True,-4,29,25,LOSS,0.0,-5.5,40.5-43,>=74%,archived_reference_line
2023_07_GB_DEN-GB,2023,7,REG,2023-10-22,2023_07_GB_DEN,NFL,GB,DEN,away,1.5,1.5,7.5,44.0,PRIMARY,LIVE,+1.5,DOG,,2,0.6752818581366227,0.07,0.7452818581366227,True,-2,19,17,WIN,1.0,5.5,43.5-45,>=74%,archived_reference_line
2023_07_JAX_NO-JAX,2023,7,REG,2023-10-19,2023_07_JAX_NO,NFL,JAX,NO,away,2.5,2.5,8.5,41.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6871559720637167,0.07,0.7571559720637167,True,7,24,31,WIN,1.0,15.5,40.5-43,>=74%,archived_reference_line
