season,week,leg_a,leg_b,p_a,p_b,y_a,y_b,resid_a,resid_b,resid_product,joint_win,expected_joint,side_pair
2022,1,2022_01_GB_MIN-GB,2022_01_PIT_CIN-CIN,0.734775519361947,0.7434422108808652,0,0,-0.734775519361947,-0.7434422108808652,0.5462631366155818,0,0.5462631366155818,DF
2022,2,2022_02_CIN_DAL-CIN,2022_02_SEA_SF-SF,0.7530306580593271,0.7614624612740131,0,1,-0.7530306580593271,0.23853753872598693,-0.17962607975868217,0,0.573404578300645,FF
2022,2,2022_02_CIN_DAL-CIN,2022_02_TB_NO-NO,0.7530306580593271,0.7452818581366227,0,0,-0.7530306580593271,-0.7452818581366227,0.5612200880722991,0,0.5612200880722991,DF
2022,2,2022_02_SEA_SF-SF,2022_02_TB_NO-NO,0.7614624612740131,0.7452818581366227,1,0,0.23853753872598693,-0.7452818581366227,-0.17777770009704014,0,0.5675041580395825,DF
2022,3,2022_03_BAL_NE-NE,2022_03_LV_TEN-TEN,0.7398722507822,0.7398722507822,0,1,-0.7398722507822,0.2601277492178,-0.19246130330468136,0,0.5474109474775186,DD
2022,6,2022_06_NE_CLE-NE,2022_06_NYJ_GB-GB,0.7490759056139629,0.7434422108808652,1,0,0.25092409438603713,-0.7434422108808652,-0.18654756349363433,0,0.5568946473872308,DF
2022,7,2022_07_IND_TEN-IND,2022_07_NO_ARI-NO,0.7490759056139629,0.7452818581366227,0,1,-0.7490759056139629,0.25471814186337727,-0.1908032227926152,0,0.5582726828213477,DD
2022,7,2022_07_IND_TEN-IND,2022_07_PIT_MIA-MIA,0.7490759056139629,0.7434422108808652,0,1,-0.7490759056139629,0.25655778911913485,-0.19218125822673204,0,0.5568946473872308,DF
2022,7,2022_07_NO_ARI-NO,2022_07_PIT_MIA-MIA,0.7452818581366227,0.7434422108808652,1,1,0.25471814186337727,0.25655778911913485,0.06534992332500222,1,0.5540739923424901,DF
2022,10,2022_10_ATL_CAR-CAR,2022_10_DEN_TEN-DEN,0.7550713499837194,0.7614624612740131,1,1,0.2449286500162806,0.23853753872598693,0.058424677338362235,1,0.5749584885960947,DD
2022,10,2022_10_ATL_CAR-CAR,2022_10_LAC_SF-SF,0.7550713499837194,0.7398722507822,1,1,0.2449286500162806,0.2601277492178,0.06371273844768935,1,0.5586563392136087,DF
2022,10,2022_10_ATL_CAR-CAR,2022_10_SEA_TB-SEA,0.7550713499837194,0.7416393567181148,1,1,0.2449286500162806,0.25836064328188524,0.06327992357637,1,0.5599906302782042,DD
2022,10,2022_10_DEN_TEN-DEN,2022_10_LAC_SF-SF,0.7614624612740131,0.7398722507822,1,1,0.23853753872598693,0.2601277492178,0.06205023305274479,1,0.5633849451089579,DF
2022,10,2022_10_DEN_TEN-DEN,2022_10_SEA_TB-SEA,0.7614624612740131,0.7416393567181148,1,1,0.23853753872598693,0.25836064328188524,0.0616287119521236,1,0.5647305299442514,DD
2022,10,2022_10_LAC_SF-SF,2022_10_SEA_TB-SEA,0.7398722507822,0.7416393567181148,1,1,0.2601277492178,0.25836064328188524,0.06720677262337973,1,0.5487183801236944,DF
2022,11,2022_11_LA_NO-LA,2022_11_LV_DEN-LV,0.763687185980531,0.7550713499837194,1,1,0.23631281401946902,0.2449286500162806,0.05787977851933694,1,0.5766383144835873,DD
2022,12,2022_12_CHI_NYJ-NYJ,2022_12_NE_MIN-NE,0.7781352362117708,0.7510325947045215,1,1,0.22186476378822917,0.24896740529547845,0.055237094566849644,1,0.584404925483142,DF
2022,12,2022_12_CHI_NYJ-NYJ,2022_12_PIT_IND-PIT,0.7781352362117708,0.7614624612740131,1,1,0.22186476378822917,0.23853753872598693,0.05292307468406666,1,0.5925207721698506,DF
2022,12,2022_12_NE_MIN-NE,2022_12_PIT_IND-PIT,0.7510325947045215,0.7614624612740131,1,1,0.24896740529547845,0.23853753872598693,0.059388072082178674,1,0.5718831280607133,DD
2022,13,2022_13_CLE_HOU-CLE,2022_13_WAS_NYG-NYG,0.734775519361947,0.7614624612740131,1,1,0.26522448063805304,0.23853753872598693,0.06326599482127934,1,0.5595039754572394,DF
2022,14,2022_14_BAL_PIT-BAL,2022_14_KC_DEN-KC,0.7755878446841711,0.7434422108808652,1,1,0.22441215531582892,0.25655778911913485,0.05757468641928897,1,0.5766047419843252,DF
2022,14,2022_14_BAL_PIT-BAL,2022_14_PHI_NYG-PHI,0.7755878446841711,0.7434422108808652,1,1,0.22441215531582892,0.25655778911913485,0.05757468641928897,1,0.5766047419843252,DF
2022,14,2022_14_KC_DEN-KC,2022_14_PHI_NYG-PHI,0.7434422108808652,0.7434422108808652,1,1,0.25655778911913485,0.25655778911913485,0.06582189915769847,1,0.5527063209194287,FF
2022,15,2022_15_ARI_DEN-ARI,2022_15_BAL_CLE-BAL,0.7730985713961489,0.763687185980531,0,0,-0.7730985713961489,-0.763687185980531,0.5904054724750936,0,0.5904054724750936,DD
2022,15,2022_15_ARI_DEN-ARI,2022_15_PIT_CAR-PIT,0.7730985713961489,0.7781352362117708,0,1,-0.7730985713961489,0.22186476378822917,-0.171523331927824,0,0.6015752394683249,DD
2022,15,2022_15_BAL_CLE-BAL,2022_15_PIT_CAR-PIT,0.763687185980531,0.7781352362117708,0,1,-0.763687185980531,0.22186476378822917,-0.16943527712566794,0,0.594251908854863,DD
2022,16,2022_16_DET_CAR-CAR,2022_16_JAX_NYJ-JAX,0.7471593818727904,0.7781352362117708,1,1,0.2528406181272096,0.22186476378822917,0.05609642401686321,1,0.5813910421014244,DD
