block,american_2team,american_3team,tickets_selected,n_2team,n_3team,units,wins,outcome_hit_rate,hypothetical_pl,hypothetical_roi,roi_ci_low,roi_ci_high
2025,-110,140,39,39,0,39.0,25,0.6410256410256411,8.727272727272725,0.22377622377622372,-0.23636363636363636,0.6511056511056511
2025,-110,160,35,15,20,35.0,20,0.5714285714285714,10.781818181818183,0.3080519480519481,-0.3015151515151515,0.9171717171717171
2025,-110,180,35,15,20,35.0,20,0.5714285714285714,12.981818181818179,0.3709090909090908,-0.27272727272727276,1.0116161616161614
2025,-120,120,39,39,0,39.0,25,0.6410256410256411,6.833333333333333,0.1752136752136752,-0.2666666666666666,0.5855855855855856
2025,-120,140,38,37,1,38.0,24,0.631578947368421,6.566666666666666,0.17280701754385963,-0.27129629629629626,0.6
2025,-120,160,35,15,20,35.0,20,0.5714285714285714,10.100000000000003,0.28857142857142865,-0.3142857142857143,0.8898148148148147
2025,-120,180,35,15,20,35.0,20,0.5714285714285714,12.300000000000002,0.3514285714285715,-0.28571428571428564,0.9842592592592592
2025,-130,120,25,25,0,25.0,13,0.52,-1.9999999999999996,-0.07999999999999999,-0.5787545787545787,0.4615384615384616
2025,-130,140,26,8,18,26.0,14,0.5384615384615384,4.446153846153845,0.17100591715976327,-0.4225412087912087,0.8180602006688962
2025,-130,160,27,7,20,27.0,15,0.5555555555555556,8.67692307692308,0.3213675213675215,-0.33076923076923076,1.0178461538461538
2025,-130,180,27,7,20,27.0,15,0.5555555555555556,10.87692307692308,0.40284900284900294,-0.28769230769230775,1.1458461538461542
2025,-140,120,6,6,0,6.0,3,0.5,-0.8571428571428569,-0.14285714285714282,,
2025,-140,140,22,3,19,22.0,12,0.5454545454545454,5.428571428571429,0.24675324675324675,-0.4077922077922078,0.8931677018633539
2025,-140,160,23,3,20,23.0,13,0.5652173913043478,9.028571428571427,0.3925465838509316,-0.29090909090909095,1.0708074534161491
2025,-140,180,23,3,20,23.0,13,0.5652173913043478,11.228571428571431,0.48819875776397526,-0.24761904761904763,1.218633540372671
SUPPLEMENTARY 2018-2025 all years,-110,120,203,203,0,203.0,115,0.5665024630541872,16.545454545454547,0.08150470219435738,-0.09875403784033225,0.2576475657044377
SUPPLEMENTARY 2018-2025 all years,-110,140,203,203,0,203.0,115,0.5665024630541872,16.545454545454547,0.08150470219435738,-0.09875403784033225,0.2576475657044377
SUPPLEMENTARY 2018-2025 all years,-110,160,168,91,77,168.0,86,0.5119047619047619,23.818181818181824,0.1417748917748918,-0.09574527505358185,0.37615654648956404
SUPPLEMENTARY 2018-2025 all years,-110,180,168,91,77,168.0,86,0.5119047619047619,31.818181818181817,0.1893939393939394,-0.06146136408614147,0.43604072460486965
SUPPLEMENTARY 2018-2025 all years,-120,120,188,188,0,188.0,103,0.5478723404255319,0.833333333333343,0.004432624113475229,-0.17548500881834211,0.18127147766323026
SUPPLEMENTARY 2018-2025 all years,-120,140,184,176,8,184.0,101,0.5489130434782609,2.8666666666666756,0.015579710144927584,-0.1659498207885304,0.19364423346658266
SUPPLEMENTARY 2018-2025 all years,-120,160,164,87,77,164.0,83,0.5060975609756098,18.83333333333334,0.11483739837398378,-0.12662601626016257,0.3545454545454546
SUPPLEMENTARY 2018-2025 all years,-120,180,164,87,77,164.0,83,0.5060975609756098,26.833333333333336,0.1636178861788618,-0.09081836327345306,0.41520799698633104
SUPPLEMENTARY 2018-2025 all years,-130,120,96,96,0,96.0,54,0.5625,-0.4615384615384617,-0.004807692307692309,-0.23904052936310996,0.22914979757085024
SUPPLEMENTARY 2018-2025 all years,-130,140,90,33,57,90.0,48,0.5333333333333333,13.846153846153845,0.15384615384615383,-0.14011579818031433,0.4528205128205128
SUPPLEMENTARY 2018-2025 all years,-130,160,108,31,77,108.0,56,0.5185185185185185,24.307692307692314,0.22507122507122512,-0.06585190510424155,0.523923782639379
SUPPLEMENTARY 2018-2025 all years,-130,180,108,31,77,108.0,56,0.5185185185185185,32.30769230769231,0.29914529914529914,-0.011188811188811173,0.6183727220062399
SUPPLEMENTARY 2018-2025 all years,-140,120,32,32,0,32.0,15,0.46875,-6.285714285714285,-0.1964285714285714,-0.5023041474654377,0.14285714285714288
SUPPLEMENTARY 2018-2025 all years,-140,140,70,11,59,70.0,37,0.5285714285714286,14.685714285714283,0.2097959183673469,-0.13043478260869565,0.5452716297786719
SUPPLEMENTARY 2018-2025 all years,-140,160,88,11,77,88.0,46,0.5227272727272727,26.285714285714285,0.2987012987012987,-0.024593128390596724,0.6215946843853821
SUPPLEMENTARY 2018-2025 all years,-140,180,88,11,77,88.0,46,0.5227272727272727,34.28571428571429,0.3896103896103897,0.0437542259611605,0.7358885017421603
