season,week,n_legs,n_dogs,n_favorites,dog_fraction,wins,week_hit_rate,expected_all_win_prob,all_win,mean_p_est,tickets_2team,tickets_3team,ticket_wins_2team,ticket_wins_3team,mean_product_2team,mean_product_3team
2024,6,2,2,0,1.0,2,1.0,0.5598347772886989,1,0.7482364344700961,1.0,,1.0,,0.5598347772886989,
2024,8,3,2,1,0.6666666666666666,2,0.6666666666666666,0.40229072763730583,0,0.7382196725774826,3.0,1.0,1.0,0.0,0.5449612350218684,0.4022907276373059
2024,9,3,2,1,0.6666666666666666,2,0.6666666666666666,0.4100144311766199,0,0.7429138259769514,3.0,1.0,1.0,0.0,0.5519141037533403,0.4100144311766199
2024,10,3,1,2,0.3333333333333333,3,1.0,0.41409383989107035,1,0.7453713874345005,3.0,1.0,3.0,1.0,0.555570222032166,0.41409383989107035
2024,11,2,1,1,0.5,1,0.5,0.5560657171285477,0,0.7457563187366776,1.0,,0.0,,0.5560657171285477,
2024,15,3,2,1,0.6666666666666666,2,0.6666666666666666,0.4122854441679629,0,0.7443047188099428,3.0,1.0,1.0,0.0,0.5539663945281077,0.4122854441679629
2024,16,2,2,0,1.0,2,1.0,0.5656057552922121,1,0.7520736277988411,1.0,,1.0,,0.5656057552922121,
2024,17,2,0,2,0.0,1,0.5,0.587002825341886,0,0.7661922232615276,1.0,,0.0,,0.587002825341886,
2024,18,3,2,1,0.6666666666666666,2,0.6666666666666666,0.45655610718084016,0,0.7700365250427416,3.0,1.0,1.0,0.0,0.5929380893112516,0.45655610718084016
2025,1,4,3,1,0.75,4,1.0,0.3116969191455011,1,0.7471983923327419,6.0,4.0,6.0,4.0,0.5583030364170875,0.4171595433487699
2025,2,4,4,0,1.0,4,1.0,0.30876169940645193,1,0.7454481614849345,6.0,4.0,6.0,4.0,0.5556831142759372,0.41421822923162854
2025,3,7,5,2,0.7142857142857143,5,0.7142857142857143,0.13015284409515776,0,0.7473168766081356,6.0,4.0,1.0,0.0,0.5641690763302539,0.42374822567143755
2025,4,6,4,2,0.6666666666666666,6,1.0,0.17791986285219358,1,0.7499936202452603,6.0,4.0,6.0,4.0,0.567399139049044,0.4273810162992253
2025,5,5,3,2,0.6,1,0.2,0.23912470411103767,0,0.7511631285409628,6.0,4.0,0.0,0.0,0.5671456933449628,0.42710774628991044
2025,6,2,0,2,0.0,2,1.0,0.5502390171463583,1,0.7418003346812131,1.0,,1.0,,0.5502390171463583,
2025,7,5,4,1,0.8,2,0.4,0.2531798220348082,0,0.7599839981787037,6.0,4.0,1.0,0.0,0.5864820212312349,0.4490554036184895
2025,8,2,2,0,1.0,0,0.0,0.5586563392136087,0,0.7474718003829597,1.0,,0.0,,0.5586563392136087,
2025,9,2,2,0,1.0,2,1.0,0.56730756512456,1,0.7532226284998483,1.0,,1.0,,0.56730756512456,
2025,10,3,3,0,1.0,3,1.0,0.4422078834786436,1,0.7620231311914992,3.0,1.0,3.0,1.0,0.5805565870951702,0.4422078834786436
2025,11,3,1,2,0.3333333333333333,3,1.0,0.42989361151445526,1,0.7548704029565014,3.0,1.0,3.0,1.0,0.5697173354595003,0.42989361151445526
2025,14,6,4,2,0.6666666666666666,4,0.6666666666666666,0.18156401022541174,0,0.75251691963862,6.0,4.0,1.0,0.0,0.5717238771609396,0.4322930294415153
2025,15,4,3,1,0.75,4,1.0,0.32085475318938755,1,0.7527080962784498,6.0,4.0,6.0,4.0,0.5665265025074525,0.426364345993528
2025,16,3,3,0,1.0,3,1.0,0.4195691199877259,1,0.7486587318234803,3.0,1.0,3.0,1.0,0.5604692368779192,0.41956911998772595
2025,17,3,3,0,1.0,2,0.6666666666666666,0.4454966016871066,0,0.7637534046811201,3.0,1.0,1.0,0.0,0.5833125101489239,0.4454966016871066
